Feature ID	Taxon
NC_003191.1	Eukaryota;Chordata;Actinopteri;Caproiformes;Caproidae;Antigonia;Antigonia capros;NA;NA;NA
NC_082569.1	Eukaryota;Chordata;Actinopteri;Caproiformes;Caproidae;Antigonia;Antigonia combatia;NA;NA;NA
FJ214989.1	Eukaryota;Chordata;Actinopteri;Gadiformes;Moridae;Antimora;Antimora rostrata;NA;NA;NA
AY949379.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Anyperodon;Anyperodon leucogrammicus;NA;NA;NA
NC_012709.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Anyperodon;Anyperodon leucogrammicus;NA;NA;NA
NC_022506.1	Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Aphanopus;Aphanopus carbo;NA;NA;NA
KU680993.1	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Aphareus;Aphareus furca;NA;NA;NA
MG599474.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Aplodinotus;Aplodinotus grunniens;NA;NA;NA
OP035136.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Aporops;Aporops bilinearis;NA;NA;NA
PZ315195.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Aporops;Aporops bilinearis;NA;NA;NA
PZ697374.1	Eukaryota;Chordata;Actinopteri;Perciformes;Serranidae;Aporops;Aporops bilinearis;NA;NA;NA
OP035220.2	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Aprion;Aprion virescens;NA;NA;NA
AB761267.1	Eukaryota;Chordata;Amphibia;Anura;Ranidae;Aquarana;Aquarana catesbeiana;NA;NA;NA
NC_010570.1	Eukaryota;Chordata;Actinopteri;Osteoglossiformes;Osteoglossidae;Arapaima;Arapaima gigas;NA;NA;NA
NC_066917.1	Eukaryota;Chordata;Actinopteri;Centrarchiformes;Centrarchidae;Archoplites;Archoplites interruptus;NA;NA;NA
PZ697360.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Archosargus;Archosargus probatocephalus;NA;NA;NA
OP035230.2	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Archosargus;Archosargus rhomboidalis;NA;NA;NA
AF513820.1	Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus forsteri;NA;NA;NA
AM181018.1	Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus pusillus;NA;NA;NA
AM181021.1	Eukaryota;Chordata;Mammalia;Carnivora;Otariidae;Arctocephalus;Arctocephalus townsendi;NA;NA;NA
KP644354.1	Eukaryota;Chordata;Actinopteri;Gadiformes;Gadidae;Arctogadus;Arctogadus glacialis;NA;NA;NA
AP012952.1	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina silus;NA;NA;NA
NW_028152263.1	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina silus;NA;NA;NA
MT410933.1	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina sphyraena;NA;NA;NA
MH248240.1	Eukaryota;Chordata;Actinopteri;Spariformes;Sparidae;Argyrops;Argyrops spinifer;NA;NA;NA
NC_017610.1	Eukaryota;Chordata;Actinopteri;NA;Sciaenidae;Argyrosomus;Argyrosomus japonicus;NA;NA;NA
OP154149.1	Eukaryota;Chordata;Actinopteri;Siluriformes;Ariidae;Ariopsis;Ariopsis felis;NA;NA;NA
DQ645662.1	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Ariosoma;Ariosoma balearicum;NA;NA;NA
