Feature ID	Taxon
PX987545.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis cruentata;NA;NA;NA
PQ628738.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis nigri;NA;NA;NA
Aethaloperca	NA;Chordata;Actinopteri;Perciformes;Serranidae;Aethaloperca;Aethaloperca rogaa;NA;NA;NA
Cephalopholis	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis boenak;NA;NA;NA
AY949400.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis miniata;NA;NA;NA
AY949387.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis taeniops;NA;NA;NA
Cephalopholis_1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis boenak;NA;NA;NA
AY949395.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis fulva;NA;NA;NA
AY949404.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sonnerati;NA;NA;NA
KU681001.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sonnerati;NA;NA;NA
NC_024100.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis sexmaculata;NA;NA;NA
MW560467.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis leopardus;NA;NA;NA
MH248173.1	NA;Chordata;Actinopteri;Perciformes;Serranidae;Cephalopholis;Cephalopholis hemistiktos;NA;NA;NA
AB560490.1	NA;Chordata;Chondrichthyes;Hexanchiformes;Hexanchidae;Hexanchus;Hexanchus griseus;NA;NA;NA
LC669503.1	NA;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus albatrossis;NA;NA;NA
LC661307.1	NA;Chordata;Actinopteri;Aulopiformes;Chlorophthalmidae;Chlorophthalmus;Chlorophthalmus albatrossis;NA;NA;NA
OQ851448.1	NA;Chordata;Actinopteri;Siluriformes;Siluridae;Silurus;Silurus asotus;NA;NA;NA
HM114376.1	NA;Chordata;Actinopteri;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;NA;NA;NA
HM114379.1	NA;Chordata;Actinopteri;Siluriformes;Callichthyidae;Callichthys;Callichthys callichthys;NA;NA;NA
OR459993.1	NA;Chordata;Actinopteri;Osteoglossiformes;Notopteridae;Notopterus;Notopterus notopterus;NA;NA;NA
EF153719.1	NA;Chordata;Aves;Galliformes;Phasianidae;Meleagris;Meleagris gallopavo;NA;NA;NA
HM063539.1	NA;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas carolinensis;NA;NA;NA
AM902523.1	NA;Chordata;Aves;Anseriformes;Anatidae;Cairina;Cairina moschata;NA;NA;NA
AY164517.1	NA;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas poecilorhyncha;NA;NA;NA
L22478.1	NA;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA;NA;NA
OR242802.1	NA;Chordata;Aves;Anseriformes;Anatidae;Anas;Anas platyrhynchos;NA;NA;NA
Anas	NA;Negarnaviricota;Insthoviricetes;Articulavirales;Orthomyxoviridae;Alphainfluenzavirus;Alphainfluenzavirus influenzae;NA;NA;NA
NC_088020.1	NA;Chordata;Actinopteri;Uranoscopiformes;Pinguipedidae;Pseudopercis;Pseudopercis numida;NA;NA;NA
MF125278.1	NA;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias vulpinus;NA;NA;NA
AF447989.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Carcharodon;Carcharodon carcharias;NA;NA;NA
PQ249369.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Isurus;Isurus oxyrinchus;NA;NA;NA
Alopias	NA;Chordata;Chondrichthyes;Lamniformes;Alopiidae;Alopias;Alopias vulpinus;NA;NA;NA
PQ249324.1	NA;Chordata;Chondrichthyes;Lamniformes;Lamnidae;Isurus;Isurus oxyrinchus;NA;NA;NA
