scientific_name,marker,ncbi_hits,common_name,source
Decapterus scombrinus,12,0,scad,"FDA The Seafood List, 2023/07/21"
Diagramma labiosum,12,0,grunt,"FDA The Seafood List, 2023/07/21"
Dinocardium robustum,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Diodora aspera,12,0,limpet,"FDA The Seafood List, 2023/07/21"
Diplodus argenteus,12,0,porgy,"FDA The Seafood List, 2023/07/21"
Dipturus olseni,12,0,skate,"FDA The Seafood List, 2023/07/21"
Donax texasianus,12,0,coquina,"FDA The Seafood List, 2023/07/21"
Donax variabilis,12,0,coquina,"FDA The Seafood List, 2023/07/21"
Doryteuthis pealeii,12,0,longfin inshore squid,SJ
Echidna peli,12,0,moray eel,"FDA The Seafood List, 2023/07/21"
Encosternum delegorguei,12,0,edible stink bug,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Encrasicholina purpurea,12,0,anchovy,"FDA The Seafood List, 2023/07/21"
Endoxyla leucomochla,12,0,witchetty grub,"Newton, ""The Oldest Foods on Earth"""
Engraulis anchoita,12,0,argentine anchovy,SJ
Engraulis australis,12,0,anchovy,"FDA The Seafood List, 2023/07/21"
Ensis ensis,12,0,razor clam,"FDA The Seafood List, 2023/07/21"
Ensis macha,12,0,razor clam,"FDA The Seafood List, 2023/07/21"
Epigonus crassicaudus,12,0,cardinalfish,"FDA The Seafood List, 2023/07/21"
Epinephelus fucoglottus x Epinephelus lanceolatus,12,0,grouper,"FDA The Seafood List, 2023/07/21"
Epinephelus timorensis,12,0,yellowspotted grouper,"FDA The Seafood List, 2023/07/21"
Epinephelus trophis,12,0,plump grouper,"FDA The Seafood List, 2023/07/21"
Eptatretus stoutii,12,0,hagfish,"FDA The Seafood List, 2023/07/21"
Erimacrus isenbeckii,12,0,korean variety crabmeat,"FDA The Seafood List, 2023/07/21"
Euvola diegensis,12,0,scallop,"FDA The Seafood List, 2023/07/21"
Evechinus chloroticus,12,0,kina (new zealand urchin),BP
Exocoetus obtusirostris,12,0,flyingfish,"FDA The Seafood List, 2023/07/21"
Exopalaemon styliferus,12,0,shrimp,"FDA The Seafood List, 2023/07/21"
Farfantepenaeus subtilis,12,0,brown shrimp,"FDA The Seafood List, 2023/07/21"
Fissurella limbata,12,0,limpet,"FDA The Seafood List, 2023/07/21"
Fissurella maxima,12,0,limpet,"FDA The Seafood List, 2023/07/21"
Fodiator acutus,12,0,flyingfish,"FDA The Seafood List, 2023/07/21"
Formica rufa,12,0,red wood ant,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems"""
Gari solida,12,0,pacific clam,"FDA The Seafood List, 2023/07/21"
Genyagnus monopterygius,12,0,stargazer,"FDA The Seafood List, 2023/07/21"
Genypterus chilensis,12,0,kingklip,"FDA The Seafood List, 2023/07/21"
Genypterus maculatus,12,0,kingklip,"FDA The Seafood List, 2023/07/21"
Glycymeris decussata,12,0,bittersweet,"FDA The Seafood List, 2023/07/21"
Glycymeris glycymeris,12,0,dog cockle,SJ
Glycymeris laticostata,12,0,bittersweet,"FDA The Seafood List, 2023/07/21"
Glycymeris pilosa,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Glycymeris violacescens,12,0,cockle,"FDA The Seafood List, 2023/07/21"
Gnathophis cinctus,12,0,conger eel,"FDA The Seafood List, 2023/07/21"
Gobionotothen marionensis,12,0,icefish,"FDA The Seafood List, 2023/07/21"
Goniistius gibbosus,12,0,morwong,"FDA The Seafood List, 2023/07/21"
Goniistius spectabilis,12,0,morwong,"FDA The Seafood List, 2023/07/21"
Grammatorcynus bicarinatus,12,0,mackerel,"FDA The Seafood List, 2023/07/21"
Gymnothorax mareei,12,0,moray eel,"FDA The Seafood List, 2023/07/21"
Haemulon melanurum,12,0,grunt,"FDA The Seafood List, 2023/07/21"
Haemulon scudderii,12,0,grunt,"FDA The Seafood List, 2023/07/21"
Haemulon steindachneri,12,0,grunt,"FDA The Seafood List, 2023/07/21"
Haliotis assimilis,12,0,abalone,"FDA The Seafood List, 2023/07/21"
