scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Panulirus marginatus,spiny lobster,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Paralithodes brevipes,king crab,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Paralithodes camtschaticus,red king crab,SJ,3,0,FALSE
Paralithodes platypus,blue king crab,SJ,3,0,FALSE
Pleoticus muelleri,shrimp,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Rossia macrosoma,squid,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Sagmariasus verreauxi,rock lobster,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Solenocera melantho,shrimp,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Strombus gigas,conch,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Uroteuthis chinensis,squid,"FDA The Seafood List, 2023/07/21",3,0,FALSE
Argopecten gibbus,calico scallop,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Argopecten nucleus,scallop,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Berryteuthis magister,squid,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Callinectes arcuatus,swimming crab,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Callinectes bellicosus,swimming crab,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Cancer pagurus,rock crab,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Cardisoma armatum,land crab,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Cephenemyia trompe,caribou nose bot fly,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",2,0,FALSE
Chionoecetes bairdi,snow crab,SJ,2,0,FALSE
Chionoecetes japonicus,beni-zuwai crab,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Chlamys farreri,scallop,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Cipangopaludina chinensis,snail,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Concholepas concholepas,loco,JL,2,0,FALSE
Crocothemis servilia,scarlet skimmer dragonfly,BP,2,0,FALSE
Haliotis fulgens,abalone,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Ibacus ciliatus,slipper lobster,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Litopenaeus setiferus,atlantic white shrimp,SJ,2,0,FALSE
Littorina sitkana,periwinkle,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Loligo vulgaris,european squid,SJ,2,0,FALSE
Loliolus beka,squid,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Mercenaria mercenaria,northern quahog,FAO Cultured Aquatic Species Fact Sheets,2,0,FALSE
Meretrix lyrata,white hard clam,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Monomia haanii,swimming crab,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Munida gregaria,langostino,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Nezara viridula,southern green stink bug,"Halloran, Flore, Vantomme, Roos, ""Edible Insects in Sustainable Food Systems""",2,0,FALSE
Ostrea lurida,oyster,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Pandalus hypsinotus,shrimp,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Panopea abrupta,geoduck clam,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Panopea generosa,geoduck,SJ,2,0,FALSE
Panulirus argus,spiny lobster,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Panulirus interruptus,spiny lobster,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Patinopecten caurinus,scallop,"FDA The Seafood List, 2023/07/21",2,0,FALSE
Pecten jacobaeus,scallop,"FDA The Seafood List, 2023/07/21",2,0,FALSE
