species,marker,list,source_status,n_raw,n_amplicons,amplicon_yield,secs
Brassica oleracea var. gemmifera,trnL,plant-candidate,on-list,3,1,TRUE,2.6
Proboscidea louisianica,trnL,plant-candidate,on-list,3,1,TRUE,3.9
Sechium edule,trnL,plant-candidate,on-list,2,1,TRUE,2.6
Acer nigrum,trnL,plant-candidate,on-list,2,1,TRUE,2.6
Brassica oleracea var. gongylodes,trnL,plant-candidate,on-list,2,1,TRUE,2.6
Brassica rapa subsp. oleifera,trnL,plant-candidate,on-list,2,1,TRUE,2.4
Ceratotheca sesamoides,trnL,plant-candidate,on-list,2,1,TRUE,2.7
Erioglossum rubiginosum,trnL,plant-candidate,on-list,2,1,TRUE,2.9
Paullinia cupana,trnL,plant-candidate,on-list,2,1,TRUE,2.8
Petunia hybrida,trnL,plant-candidate,on-list,2,1,TRUE,2.6
Sorbus domestica,trnL,plant-candidate,on-list,1,1,TRUE,2.4
Triticum araraticum,trnL,plant-candidate,on-list,2,1,TRUE,2.5
Triticum turgidum subsp. dicoccoides,trnL,plant-candidate,on-list,2,1,TRUE,2.9
Ananas parguazensis,trnL,plant-candidate,on-list,1,1,TRUE,2.5
Argania spinosa,trnL,plant-candidate,on-list,1,1,TRUE,2.5
Brassica oleracea var. italica,trnL,plant-candidate,on-list,1,1,TRUE,2.3
Chenopodium bonus-henricus,trnL,plant-candidate,on-list,1,1,TRUE,2.5
Dialium indum,trnL,plant-candidate,on-list,1,1,TRUE,2.4
Hibiscus tiliaceus,trnL,plant-candidate,on-list,1,1,TRUE,3.1
Lansium parasiticum,trnL,plant-candidate,on-list,1,1,TRUE,2.4
Lucuma campechiana,trnL,plant-candidate,on-list,1,1,TRUE,2.9
Nopalea dejecta,trnL,plant-candidate,on-list,1,1,TRUE,3
Phyllanthus acidus,trnL,plant-candidate,on-list,1,1,TRUE,2.4
Phyllanthus emblica,trnL,plant-candidate,on-list,1,1,TRUE,2.8
Sauropus androgynus,trnL,plant-candidate,on-list,1,1,TRUE,2.5
Triticum durum,trnL,plant-candidate,on-list,1,1,TRUE,2.3
Triticum turgidum subsp. durum,trnL,plant-candidate,on-list,1,1,TRUE,2.6
Urena lobata,trnL,plant-candidate,on-list,1,1,TRUE,2.5
Vigna unguiculata subsp. sesquipedalis,trnL,plant-candidate,on-list,1,1,TRUE,2.6
Trionyx sinensis,12S,vertebrate-candidate,on-list,125,23,TRUE,3.2
Pomatomus saltatrix,12S,vertebrate-candidate,on-list,26,13,TRUE,2.7
Ctenopharyngodon idellus,12S,vertebrate-candidate,on-list,13,9,TRUE,2.8
Rana catesbeiana,12S,vertebrate-candidate,on-list,29,8,TRUE,3
Catla catla,12S,vertebrate-candidate,on-list,11,8,TRUE,2.8
Gibelion catla,12S,vertebrate-candidate,on-list,11,8,TRUE,3
Raja eglanteria,12S,vertebrate-candidate,on-list,18,7,TRUE,2.5
Myliobatis freminvillii,12S,vertebrate-candidate,on-list,11,7,TRUE,2.8
Leiognathus equulus,12S,vertebrate-candidate,on-list,10,7,TRUE,2.6
Pennahia anea,12S,vertebrate-candidate,on-list,8,7,TRUE,2.6
Epinephelus niveatus,12S,vertebrate-candidate,on-list,6,6,TRUE,2.6
Esox americanus vermiculatus,12S,vertebrate-candidate,on-list,6,6,TRUE,2.7
Kyphosus sectator,12S,vertebrate-candidate,on-list,13,5,TRUE,2.6
Leucoraja erinacea,12S,vertebrate-candidate,on-list,11,5,TRUE,2.5
Zenopsis conchifera,12S,vertebrate-candidate,on-list,9,5,TRUE,2.9
Zenopsis nebulosa,12S,vertebrate-candidate,on-list,9,5,TRUE,2.3
Esox americanus americanus,12S,vertebrate-candidate,on-list,10,4,TRUE,2.5
Paracaesio xanthura,12S,vertebrate-candidate,on-list,6,4,TRUE,2.5
Barbonymus schwanenfeldii,12S,vertebrate-candidate,on-list,6,4,TRUE,3
Crenimugil crenilabis,12S,vertebrate-candidate,on-list,6,4,TRUE,2.9
Liza grandisquamis,12S,vertebrate-candidate,on-list,5,4,TRUE,2.9
Catostomus columbianus,12S,vertebrate-candidate,on-list,4,4,TRUE,2.4
Osmerus dentex,12S,vertebrate-candidate,on-list,7,3,TRUE,2.5
Osmerus mordax dentex,12S,vertebrate-candidate,on-list,7,3,TRUE,2.7
Osphronemus goramy?,12S,vertebrate-candidate,on-list,5,3,TRUE,2.5
Cephalophus natalensis,12S,vertebrate-candidate,on-list,3,3,TRUE,3.2
Limanda ferruginea,12S,vertebrate-candidate,on-list,3,3,TRUE,2.5
Limanda proboscidea,12S,vertebrate-candidate,on-list,3,3,TRUE,2.7
Manta birostris,12S,vertebrate-candidate,on-list,19,2,TRUE,2.6
Archosargus probatocephalus,12S,vertebrate-candidate,on-list,20,2,TRUE,2.5
Dentex tumifrons,12S,vertebrate-candidate,on-list,6,2,TRUE,2.6
Cypselurus agoo,12S,vertebrate-candidate,on-list,5,2,TRUE,2.6
Raja rhina,12S,vertebrate-candidate,on-list,5,2,TRUE,2.6
Puntius sarana,12S,vertebrate-candidate,on-list,4,2,TRUE,2.5
Raja binoculata,12S,vertebrate-candidate,on-list,4,2,TRUE,2.6
Raja stellulata,12S,vertebrate-candidate,on-list,3,2,TRUE,2.8
Salmostoma bacaila,12S,vertebrate-candidate,on-list,3,2,TRUE,3.3
Epinephelus nigritus,12S,vertebrate-candidate,on-list,2,2,TRUE,2.4
Lactophrys triqueter,12S,vertebrate-candidate,on-list,2,2,TRUE,2.8
Leporinus obtusidens,12S,vertebrate-candidate,on-list,2,2,TRUE,2.9
Otolithoides pama,12S,vertebrate-candidate,on-list,2,2,TRUE,2.4
Pseudotolithus senegalensis,12S,vertebrate-candidate,on-list,2,2,TRUE,2.7
Sardinella janeiro,12S,vertebrate-candidate,on-list,2,2,TRUE,2.8
Somileptus gongota,12S,vertebrate-candidate,on-list,2,2,TRUE,2.5
Thyrsitops lepidopoides,12S,vertebrate-candidate,on-list,2,2,TRUE,2.3
Sardinops melanostictus,12S,vertebrate-candidate,on-list,451,1,TRUE,4.6
Pristipomoides typus,12S,vertebrate-candidate,on-list,2,1,TRUE,2.6
Pseudopentaceros wheeleri,12S,vertebrate-candidate,on-list,6,1,TRUE,2.4
Genyonemus lineatus,12S,vertebrate-candidate,on-list,4,1,TRUE,2.4
Lethrinus xanthochilus,12S,vertebrate-candidate,on-list,4,1,TRUE,2.6
Rhacochilus vacca,12S,vertebrate-candidate,on-list,3,1,TRUE,3.2
Galeoides decadactylus,12S,vertebrate-candidate,on-list,2,1,TRUE,2.3
Pangasius gigas,12S,vertebrate-candidate,on-list,2,1,TRUE,2.8
Sciades herzbergii,12S,vertebrate-candidate,on-list,2,1,TRUE,2.5
Caelorinchus fasciatus,12S,vertebrate-candidate,on-list,1,1,TRUE,2.7
Clupea bentincki,12S,vertebrate-candidate,on-list,1,1,TRUE,2.5
Equetus punctatus,12S,vertebrate-candidate,on-list,1,1,TRUE,3
Haemulon chrysargyreum,12S,vertebrate-candidate,on-list,1,1,TRUE,2.4
Acanthurus gahhm,12S,vertebrate-candidate,on-list,1,1,TRUE,2.7
Laminaria japonica,trnL,plant-candidate,on-list,39,0,FALSE,2.8
Lycianthes moziniana,trnL,plant-candidate,on-list,31,0,FALSE,2.8
Thymus herba-barona,trnL,plant-candidate,on-list,17,0,FALSE,2.9
Citrus unshiu,trnL,plant-candidate,on-list,15,0,FALSE,2.4
Polystichum munitum,trnL,plant-candidate,on-list,15,0,FALSE,2.6
