scientific_name,marker,ncbi_hits,common_name,source
Freesia leichtlinii,trnL,0,freesia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia atroviridis,trnL,0,asam gelugor,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia cochinchinensis,trnL,0,false mangosteen,Milla 2020 Crop Origins
Garcinia cowa,trnL,0,cowa fruit,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia dulcis,trnL,0,mundu,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia forbesii,trnL,0,rose kandis,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia hombroniana,trnL,0,seashore mangosteen,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia humilis,trnL,0,achacha,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia livingstonei,trnL,0,african mangosteen,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia macrophylla,trnL,0,big leaf garcinia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia malaccensis,trnL,0,forest mangosteen,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia multiflora,trnL,0,doc,Milla 2020 Crop Origins
Garcinia nervosa,trnL,0,pear mangosteen,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia nitida,trnL,0,kandis hutan,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia parvifolia,trnL,0,kundong,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia prainiana,trnL,0,button mangosteen,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Garcinia schomburgkiana,trnL,0,ma dan,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Gnetum buchholzianum,trnL,0,jointfir,"Peters, ""Edible Wild Plants of Subsaharan Africa"""
Grewia asiatica,trnL,0,phalsa,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Hibiscus schizopetalus,trnL,0,fringed rose mallow,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Horsfieldia australiana,trnL,0,cape nutmeg,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Hydrolea zeylanica,trnL,0,leheti bon,Milla 2020 Crop Origins
Ipomoea mammosa,trnL,0,ipomoea genus,Milla 2020 Crop Origins
Iva annua,trnL,0,sumpweed,Milla 2020 Crop Origins
Jacaratia mexicana,trnL,0,wild papaya,"Sterling, ""Yucatan"""
Juglans honorei,trnL,0,colombian walnut,Milla 2020 Crop Origins
Kunzea pomifera,trnL,0,muntries,"Newton, ""The Oldest Foods on Earth"""
Landolphia dulcis,trnL,0,landolphia,"Peters, ""Edible Wild Plants of Subsaharan Africa"""
Lanxangia tsaoko,trnL,0,tsaoko amomum,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Launaea taraxacifolia,trnL,0,african lettuce,Milla 2020 Crop Origins
Lavandula stoechas,trnL,0,spanish lavender,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Lepisanthes fruticosa,trnL,0,luna nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Levisticum officinale,trnL,0,lovage,Milla 2020 Crop Origins
Lippia adoensis,trnL,0,koseret,Milla 2020 Crop Origins
Lippia graveolens,trnL,0,mexican oregano,"Sterling, ""Yucatan"""
Litsea calophylla,trnL,0,tagutugan,Milla 2020 Crop Origins
Litsea garciae,trnL,0,engkala (common name),"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Lupinus tauris,trnL,0,tauri,Milla 2020 Crop Origins
Macadamia tetraphylla,trnL,0,macadamia nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Malpighia urens,trnL,0,cowhage,Milla 2020 Crop Origins
Malvaviscus arboreus,trnL,0,wax mallow,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Mammea americana,trnL,0,mamey,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Mangifera caesia,trnL,0,binjai,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Mangifera pajang,trnL,0,wild mango,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Mangifera similis,trnL,0,lamantan,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Melilotus macrorhizus,trnL,0,tall melilot,Milla 2020 Crop Origins
Metroxylon sagu,trnL,0,sago palm,FAO major crops 2019
Michelia mediocris,trnL,0,michelia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Mirabilis expansa,trnL,0,mauka,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Mucuna pachylobia,trnL,0,fleshy pod bean,Milla 2020 Crop Origins
Myrciaria dubia,trnL,0,camu-camu,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Myristica fatua,trnL,0,wild nutmeg,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Nephelium mutabile,trnL,0,pulasan,Milla 2020 Crop Origins
Nigella sativa,trnL,0,black caraway,"Kuete, ""Medicinal Spices and Vegetables from Africa"""
Nymphaea x rubra,trnL,0,red water lily,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Omphalea megacarpa,trnL,0,hunter nut,Milla 2020 Crop Origins
Opuntia crystalenia,trnL,0,nopal cristal,Milla 2020 Crop Origins
Opuntia elatior,trnL,0,red flower prickly pear,Milla 2020 Crop Origins
Oxalis deppei,trnL,0,iron cross plant,Milla 2020 Crop Origins
Oxypolis filiformis,trnL,0,water cowbane,BP
Pachyrhizus ahipa,trnL,0,ahipa,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Pachyrhizus tuberosus,trnL,0,jicama,Milla 2020 Crop Origins
Pandanus brosimos,trnL,0,wild karuka,Milla 2020 Crop Origins
Pandanus julianettii,trnL,0,karuka nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Pangium edule,trnL,0,pangi,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Pentaspadon motleyi,trnL,0,pelong,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Phaleria capitata,trnL,0,ongael,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Phaseolus dumosus,trnL,0,year long bean,Milla 2020 Crop Origins
Phaseolus ritensis,trnL,0,santa rita mountain bean,Milla 2020 Crop Origins
Phoenix atlantica,trnL,0,cape verde island date palm,Milla 2020 Crop Origins
Phoenix sylvestris,trnL,0,wild date plum,Milla 2020 Crop Origins
Phyllanthus distichus,trnL,0,otaheite gooseberry,Milla 2020 Crop Origins
Pinus cembroides,trnL,0,pine nut,BP
Pinus culminicola,trnL,0,pine nut,BP
Pinus edulis,trnL,0,pine nut,BP
Pinus johannis,trnL,0,pine nut,BP
Pinus orizabensis,trnL,0,pine nut,BP
Pinus quadrifolia,trnL,0,pine nut,BP
Pinus remota,trnL,0,pine nut,BP
Pinus sabiniana,trnL,0,pine nut,BP
Pisum sativum var. macrocarpum,trnL,0,snow pea,BP
Pithecellobium jiringa,trnL,0,jenkol,Milla 2020 Crop Origins
Planchonia careya,trnL,0,cocky apple,"Newton, ""The Oldest Foods on Earth"""
Platostoma palustre,trnL,0,chinese mestoma,BP
Polianthes tuberosa,trnL,0,tuberose,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Polygala butyracea,trnL,0,black beniseed,Milla 2020 Crop Origins
Polygonum maximowiczii,trnL,0,water pepper,Milla 2020 Crop Origins
Polygonum odoratum,trnL,0,vietnamese coriander,BP
Polymnia sonchifolia,trnL,0,yacon,Milla 2020 Crop Origins
Porphyra umbilicalis,trnL,0,laver,"Knorr, ""Future 50 Foods"""
Pourouma cecropiifolia,trnL,0,amazon grape,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Pouteria lucuma,trnL,0,lucumo,Milla 2020 Crop Origins
Pouteria procera,trnL,0,macarandiba,Milla 2020 Crop Origins
Pouteria sapota,trnL,0,mamey sapote,"Sterling, ""Yucatan"""
Pouteria viridis,trnL,0,green sapote,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Primula x polyantha,trnL,0,polyanthus primrose,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Psidium acutangulum,trnL,0,para guava,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Psidium friedrichsthalianum,trnL,0,costa rican guava,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Psidium guineense,trnL,0,brazilian guava,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Psophocarpus scandens,trnL,0,tropical african winged bean,BP
Pterostylis curta,trnL,0,blunt greenhood,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Pterostylis pedunculata,trnL,0,maroonhood,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Pyrus x sinkiangensis,trnL,0,xinjiang pear,BP
Quararibea cordata,trnL,0,south american sapote,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Raphanus sativus var. longipinnatus,trnL,0,daikon,"Knorr, ""Future 50 Foods"""
Ribes cynosbati,trnL,0,dogberry,Milla 2020 Crop Origins
Ribes divaricatum,trnL,0,coast gooseberry,BP
Ribes hirtellum,trnL,0,american gooseberry,BP
Ribes lobbii,trnL,0,gummy gooseberry,BP
Ribes longiracemosum,trnL,0,ribes genus,Milla 2020 Crop Origins
Ribes oxyacanthoides subsp. irriguum,trnL,0,idaho gooseberry,BP
Ribes petraeum,trnL,0,rock red currant,Milla 2020 Crop Origins
Ribes spicatum,trnL,0,nordic currant,Milla 2020 Crop Origins
Ribes x nidigrolaria,trnL,0,jostaberry,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Rollinia dolabripetala,trnL,0,lancewood,Milla 2020 Crop Origins
Rolliniopsis discreta,trnL,0,monkey fruit,Milla 2020 Crop Origins
Rosa x rugosa,trnL,0,rugosa rose,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Rubus brasiliensis,trnL,0,amorinha verde,Milla 2020 Crop Origins
Rubus glaucus,trnL,0,andean raspberry,"Milla, ""CropOrigins and PhyloFood"""
Rubus loganobaccus,trnL,0,boysenberry,JL
Rubus ursinus x idaeus,trnL,0,boysenberry,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Rubus x loganobaccus,trnL,0,loganberry,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Sagittaria sagittifolia,trnL,0,arrow head,Milla 2020 Crop Origins
Salacca affinis,trnL,0,red salak,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Salacca glabrescens,trnL,0,jungle salak,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Salacca magnifica,trnL,0,greater salak,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Salacca wallichiana,trnL,0,rakum palm,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Salsola soda,trnL,0,saltwort,JL
Sandoricum koetjape,trnL,0,santol,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Sarcotheca diversifolia,trnL,0,jungle belimbing,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Scaphium macropodum,trnL,0,malva nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Scorodocarpus borneensis,trnL,0,garlic nut,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Secale cereale x Triticum aestivum,trnL,0,triticale,BP
Senna timoriensis,trnL,0,limestone cassia,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Sesbania javanica,trnL,0,marsh sesbania,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Smallanthus sonchifolius,trnL,0,yacon,JL
Smilax glyciphylla,trnL,0,sweet sarsaparilla,"Newton, ""The Oldest Foods on Earth"""
Solanum betaceam,trnL,0,tamarillo,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Solanum curtilobum,trnL,0,papa rucki,Milla 2020 Crop Origins
Solanum duplosinuatum,trnL,0,bussu,Milla 2020 Crop Origins
Solanum goniocalyx,trnL,0,papa amarilla,Milla 2020 Crop Origins
Solanum stenostomum,trnL,0,pitiqui?a,Milla 2020 Crop Origins
Solanum viride,trnL,0,cannibals tomato,Milla 2020 Crop Origins
Sphenostylis stenocarpa,trnL,0,african yam bean,Milla 2020 Crop Origins
Spilanthes acmella,trnL,0,paracress,Milla 2020 Crop Origins
Syzygium anisatum,trnL,0,aniseed myrtle,"Newton, ""The Oldest Foods on Earth"""
Syzygium australe,trnL,0,brush cherry,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Syzygium formosum,trnL,0,phul jamb,Milla 2020 Crop Origins
Syzygium luehmannii,trnL,0,riberry,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Syzygium polycephalum,trnL,0,gowok,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Syzygium smithii,trnL,0,lilly pilly,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Syzygium suborbiculare,trnL,0,red bush apple,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Tagetes lucida,trnL,0,sweet scent marigold,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Tagetes tenuifolia,trnL,0,signet marigold,"Lim, ""Edible Medicinal and Non-Medicinal Plants"""
Talisia esculenta,trnL,0,pitomba,Milla 2020 Crop Origins
Talisia olivaeformis,trnL,0,honeyberry,"Sterling, ""Yucatan"""
Taraxacum campylodes,trnL,0,dandelion,Milla 2020 Crop Origins
