scientific_name,common_name,source,total_12S_hits,vert_12S_hits,is_vertebrate
Epigonus telescopus,cardinalfish,"FDA The Seafood List, 2023/07/21",6,6,TRUE
Alosa alosa,shad,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Centroberyx affinis,alfonsino,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Centroberyx gerrardi,alfonsino,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Cyclopsetta chittendeni,flounder,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Cypselurus agoo,flyingfish,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Liza grandisquamis,mullet,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Osphronemus goramy?,gourami,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Raja rhina,skate,"FDA The Seafood List, 2023/07/21",5,5,TRUE
Allosmerus elongatus,smelt,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Catostomus columbianus,carp,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Genyonemus lineatus,croaker,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Glyptocephalus cynoglossus,witch,JL,4,4,TRUE
Plectorhinchus lineatus,grunt,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Psettodes belcheri,turbot,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Puntius sarana,barb,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Raja binoculata,skate,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Scomberomorus sierra,spanish mackerel,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Sebastes nigrocinctus,rockfish,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Sphyrna tudes,shark,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Spirinchus starksi,smelt,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Stenotomus caprinus,porgy,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Tilapia rendalli,tilapia,"FDA The Seafood List, 2023/07/21",4,4,TRUE
Aetobatus narinari,eagle ray,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Ammodytes americanus,sand lance,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Anisotremus interruptus,grunt,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Apocryptes bato,chiring,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Carcharhinus isodon,shark,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Cephalophus natalensis,red forest duiker,BP,3,3,TRUE
Cleisthenes pinetorum,flounder,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Dentex dentex,common dentex,SJ,3,3,TRUE
Epinephelus poecilonotus,grouper,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Kuhlia marginata,aholehole,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Lethrinus xanthochilus,emperor,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Limanda ferruginea,yellowtail flounder,NOAA Fisheries,3,3,TRUE
Limanda proboscidea,flounder,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Limanda punctatissima,flounder,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Lutjanus aratus,snapper,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Microstomus kitt,sole,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Pangasius sanitwongsei,giant pangasius,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Puntius sophore,barb,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Raja inornata,skate,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Raja stellulata,skate,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Rhacochilus vacca,pile perch,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Salmostoma bacaila,carp,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Saurida elongata,lizardfish,"FDA The Seafood List, 2023/07/21",3,3,TRUE
Scophthalmus rhombus,brill,JL,3,3,TRUE
Bothus ocellatus,flounder,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Cheilopogon exsiliens,flyingfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Chelidonichthys lucernus,searobin,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Cyttus novaezealandiae,dory,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Dicentrarchus punctatus,seabass,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Epinephelus nigritus,grouper,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Galeoides decadactylus,threadfin,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Hermosilla azurea,perch,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Hoplopagrus guentherii,pargo,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Hoplostethus atlanticus,orange roughy,JL,2,2,TRUE
Ilisha africana,herring,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Lactophrys triqueter,trunkfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Leporinus obtusidens,boga,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Medialuna californiensis,halfmoon,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Mycteroperca phenax,grouper,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Myliobatis californica,bat ray,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Narcine brasiliensis,electric ray,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Opsanus pardus,toadfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Otolithoides pama,croaker,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Pangasius gigas,mekong giant pangasius,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Paralabrax clathratus,sea bass,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Paralichthys patagonicus,flounder,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Pseudotolithus senegalensis,croaker,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Raja texana,skate,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Sardinella janeiro,sardine,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Sardinops ocellatus,pilchard,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Sciades herzbergii,whiskerfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Scomberomorus regalis,spanish mackerel,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Sebastes borealis,rockfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Sebastes carnatus,rockfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Serranus atricauda,bass,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Somileptus gongota,loach,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Squatina californica,angel shark,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Symphorichthys spilurus,snapper,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Thyrsitops lepidopoides,gemfish,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Urophycis brasiliensis,hake,"FDA The Seafood List, 2023/07/21",2,2,TRUE
Ambloplites cavifrons,bass,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Apsilus dentatus,snapper,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Argentina sphyraena,smelt,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Argyrosomus hololepidotus,croaker,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Atractoscion nobilis,seabass,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Caelorinchus fasciatus,grenadier,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Calamus arctifrons,porgy,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Carcharhinus altimus,shark,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Carcharhinus signatus,shark,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Chironemus marmoratus,kelpfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Chlorurus gibbus,parrotfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Citharichthys sordidus,sanddab,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Clupea bentincki,herrring,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Corica soborna,sprat,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Cynoscion parvipinnis,croaker,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Elops affinis,ladyfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Embassichthys bathybius,sole,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Epinephelus analogus,cabrilla,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Epinephelus diacanthus,grouper,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Epinephelus heniochus,grouper,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Epinephelus mystacinus,grouper,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Equetus punctatus,drum,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Equus africanus asinus,donkey,SJ,1,1,TRUE
Girella nigricans,opaleye,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Gymnachirus melas,sole,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Haemulon chrysargyreum,grunt,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Hypsophrys nicaraguensis,cichlid,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Lampris immaculatus,southern opah,SJ,1,1,TRUE
Latris lineata,trumpeter,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Lethrinus miniatus,emperor,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Lutjanus guttatus,snapper,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Macruronus magellanicus,grenadier,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Mora moro,morid cod,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Mulloidichthys dentatus,goatfish,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Ophichthus rex,snake eel,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Parancistrus aurantiacus,pleco,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Paranotothenia magellanica,cod,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Pellona ditchela,herring,"FDA The Seafood List, 2023/07/21",1,1,TRUE
Pleuronichthys decurrens,sole,"FDA The Seafood List, 2023/07/21",1,1,TRUE
