Feature ID	Taxon
NC_024813.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium cepa;NA;NA;NA
NC_043922.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium chinense;NA;NA;NA
FJ628604.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium fistulosum;NA;NA;NA
NC_040222.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium fistulosum;NA;NA;NA
PV868369.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium fistulosum;NA;NA;NA
PV868371.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium fistulosum;NA;NA;NA
NC_077656.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium macrostemon;NA;NA;NA
NC_084235.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ramosum;NA;NA;NA
PV868387.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium ramosum;NA;NA;NA
KF779159.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium sativum;NA;NA;NA
KF779160.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium sativum;NA;NA;NA
NC_031829.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium sativum;NA;NA;NA
AB477113.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium schoenoprasum;NA;NA;NA
AB477114.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium schoenoprasum;NA;NA;NA
NC_057575.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium schoenoprasum;NA;NA;NA
PV815157.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium schoenoprasum;NA;NA;NA
EU626263.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium scorodoprasum;NA;NA;NA
FJ628601.1	Eukaryota;Streptophyta;Magnoliopsida;Asparagales;Amaryllidaceae;Allium;Allium scorodoprasum;NA;NA;NA
