scientific_name,marker,ncbi_hits
"Mugil gyrans",12S,0
"Mugilidae",12S,456
"Mugiloides chilensis",12S,0
"Mugiloides fasciatus",12S,0
"Mulinia edulis",12S,0
"Mulloidichthys dentatus",12S,1
"Mullus barbatus",12S,17
"Munida gregaria",12S,2
"Muraena melanotis",12S,0
"Muraena robusta",12S,0
"Mustelus antarcticus",12S,0
"Mustelus californicus",12S,0
"Mustelus lenticulatus",12S,0
"Mya arenaria",12S,6
"Mycteroperca jordani",12S,9
"Mycteroperca phenax",12S,2
"Myleus pacu",12S,0
"Myliobatis californica",12S,2
"Myliobatis freminvillii",12S,11
"Myliobatis goodei",12S,0
"Mytilus californianus",12S,7
"Mytilus chilensis",12S,4
"Mytilus edulis",12S,12
"Mytilus galloprovicialis x Mytilus edulis",12S,0
"Mytilus galloprovincalis",12S,0
"Mytilus galloprovincialis",12S,34
"Myxine glutinosa",12S,17
"Narcine brasiliensis",12S,2
"Nautilus",12S,1
"Navodon australis",12S,0
"Nebris microps",12S,0
"Nemadactylus carponotatus",12S,0
"Nemadactylus douglasii",12S,0
"Nemadactylus macropterus",12S,0
"Nematalosa vlaminghi",12S,0
"Nematognathi",12S,0
"Nemipterus mesoprion",12S,0
"Neolithodes brodiei",12S,0
"Neotropius acutirostris",12S,0
"Nephrops norvegicus",12S,3
"Nephropsis aculeata",12S,3
"Netuma thalassinus",12S,0
"Nezara viridula",12S,2
"Nototodarus sloanii",12S,0
"Ocenebra japonica",12S,0
"Octopoda",12S,287
"Octopus insularis",12S,0
"Octopus membranaceus",12S,0
"Octopus minor",12S,3
"Octopus vulgaris",12S,6
"Odontesthes regia",12S,0
"Oecophylla smaragdina",12S,0
"Oligoplites saurus",12S,8
"Ommastrephes bartramii",12S,3
"Oncorhynchus aguabonita",12S,0
"Ophichthus rex",12S,1
"Opisthonema libertate",12S,0
"Opsanus pardus",12S,2
"Orcynopsis unicolor",12S,0
"Oreochromis mossambicus x Oreochromis niloticus",12S,0
"Orycteo rhinoceros",12S,0
"Oryctes boas",12S,0
"Osmeridae",12S,120
"Osmerus dentex",12S,7
"Osmerus mordax dentex",12S,7
"Osphronemus goramy?",12S,5
"Ostorhinchus maculiferus",12S,0
"Ostrea conchaphila",12S,0
"Ostrea edulis",12S,18
"Ostrea lurida",12S,2
"Ostreoidea",12S,166
"Otolithoides biauritus",12S,0
"Otolithoides pama",12S,2
"Ovalipes punctatus",12S,4
"Palaemon serratus",12S,3
"Palaemonetes vulgaris",12S,0
"Palinurus delagoae",12S,0
"Palinurus elephas",12S,1
"Palinurus gilchristi",12S,0
"Palinurus mauritanicus",12S,1
"Pandalopsis dispar",12S,0
"Pandalus goniurus",12S,0
"Pandalus hypsinotus",12S,2
"Pandalus jordani",12S,0
"Pangasius gigas",12S,2
"Pangasius sanitwongsei",12S,3
"Panopea abrupta",12S,2
"Panopea bitruncata",12S,0
"Panopea generosa",12S,2
"Panopeidae",12S,81
"Panulirus argus",12S,2
"Panulirus cygnus",12S,54
"Panulirus gracilis",12S,0
"Panulirus homarus",12S,9
"Panulirus inflatus",12S,1
"Panulirus interruptus",12S,2
"Panulirus japonicus",12S,50
"Panulirus laevicauda",12S,0
"Panulirus marginatus",12S,3
"Panulirus ornatus",12S,6
"Panulirus penicillatus",12S,45
"Panulirus polyphagus",12S,8
"Panulirus regius",12S,1
"Panulirus versicolor",12S,6
"Paphies australis",12S,0
"Paphies subtriangulata",12S,0
"Paphies ventricosa",12S,0
"Paracaesio xanthura",12S,6
"Paracentrotus lividus",12S,7
"Parachanna obscura",12S,7
"Paralabrax clathratus",12S,2
"Paralichthys aestuarius",12S,0
"Paralichthys microps",12S,0
"Paralichthys patagonicus",12S,2
"Paralithodes brevipes",12S,3
"Paralithodes camtschaticus",12S,3
"Paralithodes platypus",12S,3
"Paralomis granulosa",12S,1
"Paralonchurus peruanus",12S,0
"Parambassis baculis",12S,0
"Parancistrus aurantiacus",12S,1
"Paranotothenia magellanica",12S,1
"Parapenaeopsis sculptilis",12S,0
"Parapenaeopsis stylifera",12S,0
"Parapenaeus longirostris",12S,4
"Parapercis colias",12S,0
"Parastacoidea",12S,448
"Paratrachichthys trailli",12S,0
"Paristiopterus labiosus",12S,0
"Parona signata",12S,0
"Parupenaeus cilatus",12S,0
"Parupeneus cyclostomus",12S,6
"Patella caerulea",12S,7
"Patinopecten caurinus",12S,2
"Patinopecten yessoensis",12S,4
"Pecten albicans",12S,1
"Pecten jacobaeus",12S,2
"Pecten maximus",12S,11
"Pecten meridionalis",12S,0
"Pecten novaezelandiae",12S,10
"Pectinidae",12S,433
"Pellona ditchela",12S,1
"Penaeus esculentus",12S,1
"Penaeus indicus",12S,16
"Penaeus monodon",12S,125
"Penaeus semisulcatus",12S,11
"Penaeus setiferus",12S,2
"Penaeus vannamei",12S,32
"Pennahia anea",12S,8
"Peprilus simillimus",12S,0
"Percophis brasiliensis",12S,0
"Perna canaliculus",12S,5
"Petromyzontiformes",12S,201
"Phycidae",12S,40
"Pinnipedia",12S,487
"Placopecten magellanicus",12S,7
"Platanistidae",12S,15
"Platycephalus conatus",12S,0
"Platycephalus longispinis",12S,0
"Platyrhinoidis triseriata",12S,0
"Plebidonax deltoides",12S,0
"Plectorhinchus lineatus",12S,4
"Pleoticus muelleri",12S,3
"Pleoticus robustus",12S,1
"Plesionika martia",12S,0
"Pleuroncodes monodon",12S,0
"Pleuroncodes planipes",12S,0
"Pleuronichthys decurrens",12S,1
"Pleuronichthys ritteri",12S,0
"Pleuroploca gigantea",12S,0
"Plicofollis crossocheilos",12S,0
"Polinices heros",12S,0
"Pollicipes pollicipes",12S,328
"Pollicipes polymerus",12S,2
"Polyprion oxygeneios",12S,1
"Polyprion yanezi",12S,0
"Pomadasys crocro",12S,0
"Pomadasys panamensis",12S,0
"Pomatomus saltatrix",12S,26
"Pontinus khulii",12S,0
"Portunus armatus",12S,10
"Portunus pelagicus",12S,21
"Portunus puber",12S,0
"Portunus reticulatus",12S,0
"Portunus sanguinolentus",12S,10
"Portunus segnis",12S,0
"Portunus trituberculatus",12S,4
"Portunus tuberculosus",12S,0
"Prionotus stephanophrys",12S,0
"Pristipomoides flavipinnis",12S,1
"Pristipomoides typus",12S,8
"Probarbus jullien",12S,0
"Procambarus acutus",12S,6
"Procambarus clarkii",12S,10
"Procambarus zonangulus",12S,0
"Prognichthys gibbifrons",12S,0
"Prolatilus jugularis",12S,0
"Protothaca staminea",12S,0
"Protothaca tenerrima",12S,0
"Protothaca thaca",12S,0
"Protrachypene precipua",12S,0
"Psettodes belcheri",12S,4
"Pseudacanthotermes militaris",12S,4
"Pseudacanthotermes spiniger",12S,4
"Pseudapocryptes elongatus",12S,1
"Pseudeutropius atherinoides",12S,0
"Pseudolais micronemus",12S,0
"Pseudopentaceros wheeleri",12S,6
"Pseudophycis bachus",12S,0
"Pseudophycis barbata",12S,0
"Pseudophycis breviuscula",12S,0
"Pseudorhombus jenynsii",12S,0
"Pseudotolithus senegalensis",12S,2
"Pseudupeneus grandisquamis",12S,0
"Pterogymnus laniarius",12S,6
"Pterygotrigla picta",12S,0
"Ptychocheilus grandis",12S,0
"Puntius chola",12S,1
"Puntius sarana",12S,4
"Puntius sophore",12S,3
"Raja binoculata",12S,4
"Raja eglanteria",12S,18
"Raja inornata",12S,3
"Raja rhina",12S,5
"Raja stellulata",12S,3
"Raja texana",12S,2
"Rajidae",12S,764
"Rana catesbeiana",12S,31
"Rangia cuneata",12S,0
"Ranina ranina",12S,4
"Rapana venosa",12S,5
"Rastrineobola argenta",12S,0
"Rhacochilus toxotes",12S,0
"Rhacochilus vacca",12S,3
"Rhinobatos lentiginosus",12S,1
"Rhinobatos productus",12S,0
"Rhombosolea leporina",12S,1
"Rhombosolea plebeia",12S,0
"Rhombosolea retiaria",12S,0
"Rhombosolea tapirina",12S,1
"Rhynchophorus phoenicis",12S,2
"Romaleon antennarium",12S,0
"Roncador stearnsii",12S,0
"Rossia macrosoma",12S,3
"Ruditapes decussatus",12S,2
"Ruditapes philippinarum",12S,47
"Ruspolia differens",12S,0
"Ruspolia nitidula",12S,1
"Saccostrea cuccullata",12S,6
"Saccostrea glomerata",12S,4
"Sagmariasus verreauxi",12S,3
"Salanx prognathus",12S,0
"Salilota australis",12S,0
"Salmostoma bacaila",12S,3
"Samariscus triocellatus",12S,1
"Sanguinolaria sanguinolenta",12S,0
"Sarda australis",12S,0
"Sarda chiliensis",12S,1
"Sardinella fimbriata",12S,1
"Sardinella janeiro",12S,2
"Sardinops melanostictus",12S,451
"Sardinops neopilchardus",12S,0
"Sardinops ocellatus",12S,2
"Sarotherodon galilaeus galilaeus",12S,0
"Saurida elongata",12S,3
"Saurida filamentosa",12S,0
"Saxidomus gigantea",12S,0
"Saxidomus nuttalli",12S,0
"Scardinius erythrophthalmus",12S,14
"Scaridae",12S,1361
"Schedophilus ovalis",12S,0
"Schistocerca gregaria",12S,22
