scientific_name,marker,ncbi_hits
"Polystichum munitum",trnL,15
"Poncirus trifoliata",trnL,32
"Porphyra umbilicalis",trnL,0
"Pourouma cecropiifolia",trnL,0
"Pouteria lucuma",trnL,0
"Pouteria procera",trnL,0
"Pouteria sapota",trnL,0
"Pouteria viridis",trnL,0
"Primula x polyantha",trnL,0
"Proboscidea louisianica",trnL,3
"Pseudocydonia sinensis",trnL,6
"Psidium acutangulum",trnL,0
"Psidium cattleianum",trnL,5
"Psidium friedrichsthalianum",trnL,0
"Psidium guineense",trnL,0
"Psophocarpus scandens",trnL,0
"Pterostylis curta",trnL,0
"Pterostylis pedunculata",trnL,0
"Pueraria montana var. lobata",trnL,10
"Pyropia tenera",trnL,1
"Pyropia yezoensis",trnL,6
"Pyrus bretschneideri",trnL,2
"Pyrus x sinkiangensis",trnL,0
"Quararibea cordata",trnL,0
"Raphanus sativus var. longipinnatus",trnL,0
"Ribes cynosbati",trnL,0
"Ribes divaricatum",trnL,0
"Ribes hirtellum",trnL,0
"Ribes lobbii",trnL,0
"Ribes longiracemosum",trnL,0
"Ribes oxyacanthoides subsp. irriguum",trnL,0
"Ribes petraeum",trnL,0
"Ribes spicatum",trnL,0
"Ribes uva-crispa",trnL,1
"Ribes x nidigrolaria",trnL,0
"Rollinia dolabripetala",trnL,0
"Rollinia mucosa",trnL,4
"Rolliniopsis discreta",trnL,0
"Rosa x hybrida",trnL,6
"Rosa x rugosa",trnL,0
"Rubus allegheniensis",trnL,1
"Rubus brasiliensis",trnL,0
"Rubus fruticosus",trnL,5
"Rubus glaucus",trnL,0
"Rubus hybrid cultivar",trnL,1
"Rubus laciniatus",trnL,1
"Rubus loganobaccus",trnL,0
"Rubus ursinus x idaeus",trnL,0
"Rubus x loganobaccus",trnL,0
"Sagittaria sagittifolia",trnL,0
"Salacca affinis",trnL,0
"Salacca glabrescens",trnL,0
"Salacca magnifica",trnL,0
"Salacca wallichiana",trnL,0
"Salicornia quinqueflora",trnL,1
"Salsola komarovii",trnL,7
"Salsola soda",trnL,0
"Sandoricum koetjape",trnL,0
"Sarcotheca diversifolia",trnL,0
"Sauropus androgynus",trnL,1
"Scaphium macropodum",trnL,0
"Scorodocarpus borneensis",trnL,0
"Scorzonera hispanica",trnL,3
"Secale cereale x Triticum aestivum",trnL,0
"Sechium edule",trnL,3
"Sechium tacaco",trnL,2
"Senna timoriensis",trnL,0
"Sesamum radiatum",trnL,4
"Sesbania javanica",trnL,0
"Sida rhombifolia",trnL,6
"Smallanthus sonchifolius",trnL,0
"Smilax glyciphylla",trnL,0
"Solanum betaceam",trnL,0
"Solanum curtilobum",trnL,0
"Solanum duplosinuatum",trnL,0
"Solanum goniocalyx",trnL,0
"Solanum stenostomum",trnL,0
"Solanum uporo",trnL,1
"Solanum viride",trnL,0
"Sorbus domestica",trnL,2
"Sphenostylis stenocarpa",trnL,0
"Spilanthes acmella",trnL,0
"Spondias cytherea",trnL,8
"Spondias lakonensis",trnL,5
"Sterculia parviflora",trnL,1
"Syzygium anisatum",trnL,0
"Syzygium australe",trnL,0
"Syzygium formosum",trnL,0
"Syzygium luehmannii",trnL,0
"Syzygium polycephalum",trnL,0
"Syzygium smithii",trnL,0
"Syzygium suborbiculare",trnL,0
"Tagetes lucida",trnL,0
"Tagetes tenuifolia",trnL,0
"Talisia esculenta",trnL,0
"Talisia olivaeformis",trnL,0
"Taraxacum campylodes",trnL,0
"Telopea speciosissima",trnL,3
"Terminalia cunninghamii",trnL,0
"Terminalia ferdinandiana",trnL,0
"Terminalia kaernbachii",trnL,0
"Tetragonia tetragonioides",trnL,5
"Theobroma bicolor",trnL,0
"Theobroma microcarpum",trnL,0
"Thymus herba-barona",trnL,17
"Trichosanthes japonica",trnL,0
"Triticum aestivum subsp. compactum",trnL,0
"Triticum aestivum subsp. sphaerococcum",trnL,0
"Triticum araraticum",trnL,2
"Triticum boeoticum",trnL,5
"Triticum dicoccon",trnL,2
"Triticum durum",trnL,1
"Triticum monococcum subsp. aegilopoides",trnL,5
"Triticum sphaerococcum",trnL,0
"Triticum turanicum",trnL,0
"Triticum turgidum subsp. carthlicum",trnL,1
"Triticum turgidum subsp. dicoccoides",trnL,2
"Triticum turgidum subsp. dicoccum",trnL,2
"Triticum turgidum subsp. durum",trnL,1
"Triticum turgidum subsp. paleocolchicum",trnL,0
"Triticum turgidum subsp. polonicum",trnL,0
"Triticum turgidum subsp. turanicum",trnL,0
"Triticum vavilovii",trnL,0
"Tropaeolum leptophyllum",trnL,0
"Tropaeolum tuberosum",trnL,0
"Tulip gesneriana",trnL,0
"Ullucus tuberosus",trnL,0
"Undaria pinnatifida",trnL,4
"Urena lobata",trnL,1
"Vaccinium ashei",trnL,0
"Vaccinium oxycoccos",trnL,50
"Vaccinium tenellum",trnL,1
"Valeriana sambucifolia",trnL,2
"Vanilla tahitensis",trnL,0
"Vasconcellea pubescens",trnL,4
"Vicia articulata",trnL,0
"Vicia graminea",trnL,0
"Victoria amazonica",trnL,2
"Vigna lanceolata",trnL,0
"Vigna unguiculata subsp. sesquipedalis",trnL,1
"Viola hederacea",trnL,0
"Viola odorata",trnL,1
"Viola x wittrockiana",trnL,0
"Wasabia japonica",trnL,47
"Willughbeia angustifolia",trnL,0
"Wolffia arrhiza",trnL,0
"Xanthophyllum amoenum",trnL,0
"Xanthosoma",trnL,7
"Xanthosoma belophyllum",trnL,0
"Xanthosoma brasiliense",trnL,0
"Xanthosoma caracu",trnL,0
"Xanthosoma poeppigii",trnL,0
"Xanthosoma undipes",trnL,0
"Xylopia aethiopica",trnL,2
"Yucca gigantea",trnL,7
"Zanthoxylum capense",trnL,2
